country,iso3_code,year,continent,ahdi,life_exp,schooling,democracy,gdp,gini,co2_per_capita
Philippines,PHL,2015,Asia,0.4300885332984684,0.37243490439375865,0.3590440114661237,0.434,0.5895812485069025,44.6,1.0544406
Poland,POL,1995,Europe,0.49194155945463264,0.3840682008689312,0.28597534941020847,0.814,0.6550775239992396,34.6,9.448353
Poland,POL,2000,Europe,0.5266361792180878,0.41983492085711865,0.3267528085415449,0.805,0.696544706664263,33.0,8.293836
Poland,POL,2005,Europe,0.551784947024399,0.45065446384037006,0.3510325529730314,0.812,0.7216594368121575,35.8,8.461171
Poland,POL,2010,Europe,0.5834163892021387,0.4822450899027087,0.3839214706134026,0.824,0.7594113322711794,33.2,8.768195
Poland,POL,2015,Europe,0.6584650130939994,0.5146211173529618,0.5825570357617118,0.8,0.7838171726375229,31.8,8.167728
Poland,POL,2020,Europe,0.6190396365726161,0.5001384369687379,0.7757867792579572,0.468,0.8087147605212818,28.5,7.914448
Portugal,PRT,2005,Europe,0.5573797004103476,0.5445280838480233,0.2599180560376749,0.844,0.8079889307994216,38.5,6.6304703
Portugal,PRT,2010,Europe,0.581816784587194,0.6161320946302142,0.27205951268636397,0.842,0.8118861712104001,35.8,4.9996824
Portugal,PRT,2015,Europe,0.6248399086904312,0.6807793306050257,0.3311946656123512,0.837,0.8077182363730426,35.5,5.03681
Portugal,PRT,2020,Europe,0.6365617026411536,0.6711910993794146,0.37562287896302465,0.802,0.8120624568586384,34.7,4.024692
Romania,ROU,1995,Europe,0.41108874383031374,0.3443472265060627,0.3702096821340737,0.397,0.5642966507449313,31.2,5.546691
Romania,ROU,2000,Europe,0.43488843348143064,0.3726775211667552,0.39034283074511766,0.435,0.5652528568609454,29.3,4.227758
Romania,ROU,2005,Europe,0.45475211595778187,0.36120726366772005,0.411060059197897,0.468,0.6154479159116072,29.8,4.7770095
Romania,ROU,2010,Europe,0.505170486385851,0.4254802500187047,0.43300904002880497,0.544,0.6497953668678398,35.5,4.134961
Romania,ROU,2015,Europe,0.5396572592802056,0.4434254208840089,0.47004701570503143,0.606,0.6714869593539281,35.9,3.9276292
Romania,ROU,2020,Europe,0.5531515002562474,0.45682716447166355,0.5143979623883695,0.567,0.7026550297454943,34.6,3.81315
South Africa,ZAF,2000,Africa,0.3798354814784852,0.21467250669175922,0.2530156237989577,0.642,0.5969298935000589,57.8,8.022367
South Africa,ZAF,2005,Africa,0.37732196499172194,0.1772105444909092,0.2790603507492376,0.665,0.6163664749723936,65.0,8.409871
South Africa,ZAF,2010,Africa,0.41091980451370025,0.218571514664733,0.3107406003435365,0.665,0.6312699025964702,60.9,8.928475
Spain,ESP,1990,Europe,0.5594493351103702,0.501907972436277,0.30597111941196836,0.819,0.7788514213776744,32.0,5.8688183
Spain,ESP,1995,Europe,0.5855650902392038,0.540891650266724,0.3335434289006458,0.824,0.7908804340954456,35.7,6.6179895
Spain,ESP,2000,Europe,0.6189042930502763,0.5880376372709314,0.37048874073879,0.82,0.8212965345211184,34.1,7.5392795
Spain,ESP,2005,Europe,0.6416126742494499,0.630718730326619,0.3969260841668656,0.81,0.8357210674180849,32.4,8.358881
Spain,ESP,2010,Europe,0.6827290587894779,0.7385356650206252,0.42540314242562466,0.83,0.8331885498494823,35.2,6.032926
Spain,ESP,2015,Europe,0.6659799283343042,0.7949528839746497,0.3905474085678364,0.76,0.8337115526208908,36.2,5.7889185
Spain,ESP,2020,Europe,0.6920300102158395,0.7611041501895066,0.4533423001542519,0.803,0.8277779122260274,34.9,4.441423
Sweden,SWE,1995,Europe,0.6893857869727554,0.5637463438712362,0.5396628448242713,0.883,0.8407799393343776,25.2,6.739775
Sweden,SWE,2000,Europe,0.706373307258768,0.602223496246088,0.5405718130881099,0.881,0.86806074530116,27.0,6.187081
Sweden,SWE,2005,Europe,0.7294528791028748,0.6462186442380119,0.5580036925084332,0.884,0.8882191848801266,26.8,5.9566827
Sweden,SWE,2010,Europe,0.7539277788352051,0.7011763148466591,0.5762994155830145,0.889,0.8993770555844436,27.7,5.654432
Sweden,SWE,2015,Europe,0.7854182465592621,0.7519323395675984,0.6296429888307745,0.89,0.9031103170487611,29.2,4.419636
Sweden,SWE,2020,Europe,0.8033548575017027,0.7736393392446074,0.6782148213813284,0.879,0.903098246810651,28.9,3.5371203
Switzerland,CHE,2000,Europe,0.7419688025597515,0.6066020303110667,0.6798063465254585,0.834,0.8812263096786562,33.4,6.071895
Switzerland,CHE,2010,Europe,0.7960777449625251,0.7605656926766399,0.6940411897722881,0.848,0.8972306535336143,32.6,5.754552
Switzerland,CHE,2015,Europe,0.8475700112496871,0.8162712134459343,0.8195823642339373,0.857,0.9001075836631467,32.3,4.6784573
Switzerland,CHE,2020,Europe,0.8855448455370343,0.8421149841608551,0.9515052077096351,0.851,0.9018412861473125,33.7,3.974646
Thailand,THA,1990,Asia,0.33956899415485714,0.358482748599371,0.2132310444662176,0.279,0.6234321783485068,45.3,1.5814012
Thailand,THA,2000,Asia,0.4074668694545545,0.39143813745017136,0.2614140852536509,0.398,0.676852470075406,42.8,2.656054
Thailand,THA,2010,Asia,0.4263322208388502,0.4771620161174434,0.2767174922581469,0.338,0.7402415312314974,39.4,3.5144494
